fid,full_id,osm_id,osm_type,addr:country,addr:city,maxspeed,tactile_paving,traffic_signals,wheelchair,short_name,lit,amenity,operator,network:wikidata,network:short,network,shelter,bin,bench,name:en,route_ref,ref,public_transport,name,location,bus,button_operated,crossing,traffic_signals:direction,highway
"76",n410485130,"410485130",node,,,,,,,,,,,,,,,,,,"169;169A;169B;858;858A;964","46481",platform,After Woodlands Industrial Park E6,Woodlands Avenue 9,yes,,,,bus_stop
"77",n410485131,"410485131",node,,,,,,,,,,,,,,,,,,"169;169A;169B;858;858A;964","46471",platform,Opposite Blk 773,Woodlands Avenue 9,yes,,,,bus_stop
"78",n410487013,"410487013",node,,,,,,,,,,Land Transport Authority,,,,yes,,yes,,"117;117M;169;858;883;965;969;969A","59061",platform,Blk 763,Yishun Avenue 2,yes,,,,bus_stop
"79",n410487014,"410487014",node,,,,,,,,yes,,Land Transport Authority,Q3299279,LTA,Land Transport Authority,yes,yes,yes,,"117;117M;169;169A;804;812;812T;858;858A;859;859T;965;965A;965T;969","59073",platform,Opposite Yishun Station,Yishun Avenue 2,yes,,,,bus_stop
"80",n410487017,"410487017",node,,,,,,,,,,Land Transport Authority,,,,yes,yes,yes,,"39;85;85A;103;117;117M;169;805;811;811T;851;851e;852;854;854e;855;857;857A;857B;858;883;965;965T;969","59069",platform,Opposite Blk 757,Yishun Avenue 2,yes,,,,bus_stop
"81",n410487019,"410487019",node,,,,,,,,,,Land Transport Authority,,,,yes,,yes,,"117;117M;169;883;883B;883M","59521",platform,Yishun Emerald,Yishun Avenue 2,yes,,,,bus_stop
"82",n410487020,"410487020",node,,,,,,,,yes,,Land Transport Authority,,,,yes,yes,yes,,"117;117M;169;169A;804;812;812T;883;965;965A;965T","59099",platform,Blk 220,Yishun Avenue 2,yes,,,,bus_stop
"83",n410487021,"410487021",node,,,,,,,,yes,,Land Transport Authority,,,,yes,yes,yes,,"117;117M;169;804;811;811T;812;812T;883;883B;883M;965","59091",platform,Blk 154,Yishun Avenue 2,yes,,,,bus_stop
"84",n410487025,"410487025",node,,,,,,,,yes,,Land Transport Authority,,,,yes,yes,yes,,"117;117M;169;800;811;811T;883;883B;883M;965","59251",platform,Opposite Darul Makmur Mosque,Yishun Avenue 2,yes,,,,bus_stop
"85",n410487057,"410487057",node,,,,,,,,yes,,Land Transport Authority,,,,yes,yes,yes,,"169;860","59549",platform,Khatib Camp,Yishun Avenue 3,yes,,,,bus_stop
"86",n410487058,"410487058",node,,,,,,,,yes,,Land Transport Authority,,,,yes,yes,yes,,"169;811;811T;812;812T;860","59339",platform,Blk 776,Yishun Avenue 3,yes,,,,bus_stop
"87",n410487059,"410487059",node,,,,,,,,,,Land Transport Authority,,,,yes,yes,yes,,"169;811;811T;860;860T","59331",platform,Blk 773,Yishun Avenue 3,yes,,,,bus_stop
"88",n410487060,"410487060",node,,,,,,,,yes,,Land Transport Authority,,,,yes,yes,yes,,"169;860;860T","59541",platform,Opposite Khatib Camp,Yishun Avenue 3,yes,,,,bus_stop
"89",n410487061,"410487061",node,,,,,,,,yes,,Land Transport Authority,,,,yes,yes,yes,,"169;860;860T","59551",platform,Blk 722,Yishun Avenue 3,yes,,,,bus_stop
"90",n410487062,"410487062",node,,,,,,,,yes,,Land Transport Authority,,,,yes,yes,yes,,"169;860","59559",platform,Opposite Blk 722,Yishun Avenue 3,yes,,,,bus_stop
"91",n617988784,"617988784",node,,,,,,,,yes,,,,,,yes,yes,yes,,"169;169A;882","58069",platform,Opposite Durban Road,Sembawang Road,yes,,,,bus_stop
"92",n617988791,"617988791",node,,,,,,,,yes,,Land Transport Authority,,,,yes,yes,yes,,"117;117M;169;882;883;883M","58051",platform,Blk 592C,Sembawang Road,yes,,,,bus_stop
"93",n617988792,"617988792",node,,,,,,,,yes,,Land Transport Authority,,,,yes,yes,yes,,"117;117M;169;169A;882;883;883B;883M","58059",platform,Opposite Blk 592C,Sembawang Road,yes,,,,bus_stop
"94",n617988793,"617988793",node,,,,,,,,yes,,,,,,yes,yes,yes,,"169;882","58061",platform,After Durban Road,Sembawang Road,yes,,,,bus_stop
"95",n1857011343,"1857011343",node,,,,,,no,,,,,,,,,,,,"163;167;169;652;855;980","56039",platform,After Yio Chu Kang Road,Upper Thomson Road,yes,,,,bus_stop
"96",n1863993047,"1863993047",node,,,,,,,,,,,,,,,,,,"169;169A","58191",platform,After Wellington Road,Admiralty Road East,yes,,,,bus_stop
"97",n1863993049,"1863993049",node,,,,,,,,yes,,,,,,yes,yes,yes,,"163;167;169;855;980","56019",platform,Before Ang Mo Kio Avenue 1,Upper Thomson Road,yes,,,,bus_stop
"98",n1863993053,"1863993053",node,,,,,,,,,,Land Transport Authority,,,,yes,,,,"117;117M;169;169A;883;883B;883M","58049",platform,Opposite Blk 590C,Sembawang Road,yes,,,,bus_stop
"99",n1863993062,"1863993062",node,,,,,,,,,,Land Transport Authority,,,,,,,,"169","58199",platform,Opposite Auckland Road West,Admiralty Road East,yes,,,,bus_stop
"100",n3747814385,"3747814385",node,,,,,,,,,,Land Transport Authority,Q3299279,LTA,Land Transport Authority,yes,yes,yes,,"117;117M;169;858;883;883B;965;969;969A","59079",platform,Yishun Station,Yishun Avenue 2,yes,,,,bus_stop
"101",n6923883536,"6923883536",node,,,,,,,,,,Land Transport Authority,,,,yes,yes,yes,,"117;117M;169;169A;883;883M","59529",platform,Opposite Yishun Emerald,Yishun Avenue 2,yes,,,,bus_stop
"102",n7127055543,"7127055543",node,,,,,,,,,,Land Transport Authority,,,,yes,,yes,,"117;117M;169;883;883B;883M","58549",platform,Canberra Station,Canberra Link,yes,,,,bus_stop
"103",n7128552710,"7128552710",node,,,,,,,,,,,,,,,,,,,,stop_position,Before Adana @ Thomson,,yes,,,,
"104",n7128552711,"7128552711",node,,,,,,,,,,Land Transport Authority,Q3299279,LTA,Land Transport Authority,yes,,yes,,"163;167;169;855;980","56011",platform,Before Adana @ Thomson,Upper Thomson Road,yes,,,,bus_stop
