fid,full_id,osm_id,osm_type,ref,addr:country,addr:city,wikipedia,wikidata,tactile_paving,network:wikidata,network:short,network,lit,amenity,air_conditioning,button_operated,maxspeed,short_name,wheelchair,operator,name:en,bin,shelter,bench,route_ref,public_transport,name,location,bus,traffic_signals,crossing,highway
"59",n410485136,"410485136",node,"46519",,,,,,,,,,,,,,,,Land Transport Authority,,,,,"160;178;856;912;912B;913M;950",platform,Opposite Blk 144,Woodlands Centre Road,yes,,,bus_stop
"60",n410485145,"410485145",node,"46501",,,,,,,,,,,,,,,,,,,,,"856;911;912;912B;950",platform,Opposite Marsiling Park,Woodlands Centre Road,yes,,,bus_stop
"61",n410485813,"410485813",node,"46069",,,,,,,,,,,,,,,,Land Transport Authority,,,,,"170;178;856;903;911;912;912B;950;NR2",platform,Woodlands Train Checkpoint,Woodlands Centre Road,yes,,,bus_stop
"62",n410487073,"410487073",node,"59111",,,,,,,,,,,,,,,,,,,yes,,"171;807;856;858;859;969",platform,Blk 701,Yishun Avenue 5,yes,,,bus_stop
"63",n410487075,"410487075",node,"59119",,,,,,,,,,,,,,,,,,,yes,,"171;811;811A;811T;856;858;858A;859;859T;883M;969",platform,Opposite Blk 701A,Yishun Avenue 5,yes,,,bus_stop
"64",n410487078,"410487078",node,"59141",,,,,,,,,,,,,,,,,,,yes,,"171;856;858;859;969",platform,Blk 741,Yishun Avenue 5,yes,,,bus_stop
"65",n1849689358,"1849689358",node,"46509",,,,,,,,,,,,,,,,Land Transport Authority,,,,,"160;178;856;911;912;912B;950",platform,Marsiling Park,Woodlands Centre Road,yes,,,bus_stop
"66",n1867272087,"1867272087",node,"47099",,,,,,,,,,,,,,,,,,,,,"856;981",platform,Masterdon,Senoko Drive,yes,,,bus_stop
"67",n1868431478,"1868431478",node,"47041",,,,,,,,,,,,,,,,,,,,,"856",platform,Opposite Woodlands Auto Hub,Admiralty Road West,yes,,,bus_stop
"68",n1907922843,"1907922843",node,"58029",,,,,,,,,,,,,,,,Land Transport Authority,,,,,"167;856;858;858A;859;859T;980",platform,The Nautical,Sembawang Road,yes,,,bus_stop
"69",n1907922927,"1907922927",node,"46088",,,,,,,,,,,,,,Blk 25,,,,,,,"170;178;856;903;911;912;912B;950;NR2",platform,Blk 25,Woodlands Centre Road,yes,,,bus_stop
"70",n7218072257,"7218072257",node,"47201",,,,,,,,,,,,,,,,,,,,,"856",platform,Woodlands North Station,North Woodlands Drive,yes,,,bus_stop
"71",n8823767743,"8823767743",node,"59009",,,en:Yishun Bus Interchange,Q8053842,yes,Q3299279,LTA,Land Transport Authority,yes,bus_station,yes,,,,,Land Transport Authority,,yes,yes,yes,"39;85;85A;103;171;800;801;803;804;805;806;807;807A;807B;811;811A;811T;812;812T;851;851e;852;853;853M;854;854e;855;856;857;857A;857B;859;859T;860;860T",station,Yishun Interchange,Yishun Avenue 2,yes,,,bus_stop
